Empirical aplication  usElectricity  has began at: 2023-06-30 14:50:49 
Batch 497 / 1000  time:  2023-07-04 16:39:02 
Batch 498 / 1000  time:  2023-07-04 16:50:50 
Batch 499 / 1000  time:  2023-07-04 17:02:33 
Batch 500 / 1000  time:  2023-07-04 17:14:30 
Batch 501 / 1000  time:  2023-07-04 17:26:14 
Batch 502 / 1000  time:  2023-07-04 17:37:59 
Batch 503 / 1000  time:  2023-07-04 17:49:45 
Batch 504 / 1000  time:  2023-07-04 18:01:34 
Batch 505 / 1000  time:  2023-07-04 18:13:20 
Batch 506 / 1000  time:  2023-07-04 18:25:07 
Batch 507 / 1000  time:  2023-07-04 18:36:50 
Batch 508 / 1000  time:  2023-07-04 18:48:36 
Batch 509 / 1000  time:  2023-07-04 19:00:26 
Batch 510 / 1000  time:  2023-07-04 19:12:12 
Batch 511 / 1000  time:  2023-07-04 19:23:57 
Batch 512 / 1000  time:  2023-07-04 19:35:43 
Batch 513 / 1000  time:  2023-07-04 19:47:33 
Batch 514 / 1000  time:  2023-07-04 19:59:18 
Batch 515 / 1000  time:  2023-07-04 20:11:04 
Batch 516 / 1000  time:  2023-07-04 20:22:54 
Batch 517 / 1000  time:  2023-07-04 20:34:37 
Batch 518 / 1000  time:  2023-07-04 20:46:33 
Batch 519 / 1000  time:  2023-07-04 20:58:17 
Batch 520 / 1000  time:  2023-07-04 21:10:04 
Batch 521 / 1000  time:  2023-07-04 21:21:53 
Batch 522 / 1000  time:  2023-07-04 21:33:46 
Batch 523 / 1000  time:  2023-07-04 21:45:33 
Batch 524 / 1000  time:  2023-07-04 21:57:17 
Batch 525 / 1000  time:  2023-07-04 22:09:03 
Batch 526 / 1000  time:  2023-07-04 22:20:52 
Batch 527 / 1000  time:  2023-07-04 22:32:45 
Batch 528 / 1000  time:  2023-07-04 22:44:35 
Batch 529 / 1000  time:  2023-07-04 22:56:21 
Batch 530 / 1000  time:  2023-07-04 23:08:10 
Batch 531 / 1000  time:  2023-07-04 23:19:54 
Batch 532 / 1000  time:  2023-07-04 23:31:39 
Batch 533 / 1000  time:  2023-07-04 23:43:25 
Batch 534 / 1000  time:  2023-07-04 23:55:21 
Batch 535 / 1000  time:  2023-07-05 00:07:06 
Batch 536 / 1000  time:  2023-07-05 00:18:50 
Batch 537 / 1000  time:  2023-07-05 00:30:37 
Batch 538 / 1000  time:  2023-07-05 00:42:26 
Batch 539 / 1000  time:  2023-07-05 00:54:17 
Batch 540 / 1000  time:  2023-07-05 01:06:02 
Batch 541 / 1000  time:  2023-07-05 01:17:47 
Batch 542 / 1000  time:  2023-07-05 01:29:34 
Batch 543 / 1000  time:  2023-07-05 01:41:26 
Batch 544 / 1000  time:  2023-07-05 01:53:11 
Batch 545 / 1000  time:  2023-07-05 02:04:58 
Batch 546 / 1000  time:  2023-07-05 02:16:41 
Batch 547 / 1000  time:  2023-07-05 02:28:25 
Batch 548 / 1000  time:  2023-07-05 02:40:10 
Batch 549 / 1000  time:  2023-07-05 02:51:56 
Batch 550 / 1000  time:  2023-07-05 03:03:46 
Batch 551 / 1000  time:  2023-07-05 03:15:30 
Batch 552 / 1000  time:  2023-07-05 03:27:26 
Batch 553 / 1000  time:  2023-07-05 03:39:10 
Batch 554 / 1000  time:  2023-07-05 03:51:07 
Batch 555 / 1000  time:  2023-07-05 04:02:55 
Batch 556 / 1000  time:  2023-07-05 04:14:47 
Batch 557 / 1000  time:  2023-07-05 04:26:38 
Batch 558 / 1000  time:  2023-07-05 04:38:29 
Batch 559 / 1000  time:  2023-07-05 04:50:10 
Batch 560 / 1000  time:  2023-07-05 05:02:01 
Batch 561 / 1000  time:  2023-07-05 05:13:43 
Batch 562 / 1000  time:  2023-07-05 05:25:26 
Batch 563 / 1000  time:  2023-07-05 05:37:08 
Batch 564 / 1000  time:  2023-07-05 05:49:04 
Batch 565 / 1000  time:  2023-07-05 06:00:48 
Batch 566 / 1000  time:  2023-07-05 06:12:37 
Batch 567 / 1000  time:  2023-07-05 06:24:21 
Batch 568 / 1000  time:  2023-07-05 06:36:08 
Batch 569 / 1000  time:  2023-07-05 06:47:50 
Batch 570 / 1000  time:  2023-07-05 06:59:38 
Batch 571 / 1000  time:  2023-07-05 07:11:24 
Batch 572 / 1000  time:  2023-07-05 07:23:06 
Batch 573 / 1000  time:  2023-07-05 07:34:47 
Batch 574 / 1000  time:  2023-07-05 07:46:31 
Batch 575 / 1000  time:  2023-07-05 07:58:18 
Batch 576 / 1000  time:  2023-07-05 08:10:15 
Batch 577 / 1000  time:  2023-07-05 08:21:57 
Batch 578 / 1000  time:  2023-07-05 08:33:49 
Batch 579 / 1000  time:  2023-07-05 08:45:30 
Batch 580 / 1000  time:  2023-07-05 08:57:22 
Batch 581 / 1000  time:  2023-07-05 09:09:10 
Batch 582 / 1000  time:  2023-07-05 09:21:02 
Batch 583 / 1000  time:  2023-07-05 09:32:53 
Batch 584 / 1000  time:  2023-07-05 09:44:45 
Batch 585 / 1000  time:  2023-07-05 09:56:36 
Batch 586 / 1000  time:  2023-07-05 10:08:22 
Batch 587 / 1000  time:  2023-07-05 10:20:09 
Batch 588 / 1000  time:  2023-07-05 10:31:55 
Batch 589 / 1000  time:  2023-07-05 10:43:41 
Batch 590 / 1000  time:  2023-07-05 10:55:29 
Batch 591 / 1000  time:  2023-07-05 11:07:14 
Batch 592 / 1000  time:  2023-07-05 11:19:02 
Batch 593 / 1000  time:  2023-07-05 11:30:54 
Batch 594 / 1000  time:  2023-07-05 11:42:41 
Batch 595 / 1000  time:  2023-07-05 11:54:26 
Batch 596 / 1000  time:  2023-07-05 12:06:07 
Batch 597 / 1000  time:  2023-07-05 12:17:50 
Batch 598 / 1000  time:  2023-07-05 12:29:40 
Batch 599 / 1000  time:  2023-07-05 12:41:30 
Batch 600 / 1000  time:  2023-07-05 12:53:14 
Batch 601 / 1000  time:  2023-07-05 13:05:00 
Batch 602 / 1000  time:  2023-07-05 13:16:46 
Batch 603 / 1000  time:  2023-07-05 13:28:34 
Batch 604 / 1000  time:  2023-07-05 13:40:14 
Batch 605 / 1000  time:  2023-07-05 13:52:02 
Batch 606 / 1000  time:  2023-07-05 14:03:44 
Batch 607 / 1000  time:  2023-07-05 14:15:24 
Batch 608 / 1000  time:  2023-07-05 14:27:19 
Batch 609 / 1000  time:  2023-07-05 14:39:05 
Batch 610 / 1000  time:  2023-07-05 14:50:56 
Batch 611 / 1000  time:  2023-07-05 15:02:49 
Batch 612 / 1000  time:  2023-07-05 15:14:35 
Batch 613 / 1000  time:  2023-07-05 15:26:21 
Batch 614 / 1000  time:  2023-07-05 15:38:08 
Batch 615 / 1000  time:  2023-07-05 15:49:55 
Batch 616 / 1000  time:  2023-07-05 16:01:40 
Batch 617 / 1000  time:  2023-07-05 16:13:26 
Batch 618 / 1000  time:  2023-07-05 16:25:17 
Batch 619 / 1000  time:  2023-07-05 16:37:02 
Batch 620 / 1000  time:  2023-07-05 16:48:46 
Batch 621 / 1000  time:  2023-07-05 17:00:31 
Batch 622 / 1000  time:  2023-07-05 17:12:15 
Batch 623 / 1000  time:  2023-07-05 17:24:02 
Batch 624 / 1000  time:  2023-07-05 17:35:52 
Batch 625 / 1000  time:  2023-07-05 17:47:38 
Batch 626 / 1000  time:  2023-07-05 17:59:29 
Batch 627 / 1000  time:  2023-07-05 18:11:14 
Batch 628 / 1000  time:  2023-07-05 18:22:59 
Batch 629 / 1000  time:  2023-07-05 18:34:44 
Batch 630 / 1000  time:  2023-07-05 18:46:35 
Batch 631 / 1000  time:  2023-07-05 18:58:20 
Batch 632 / 1000  time:  2023-07-05 19:10:10 
Batch 633 / 1000  time:  2023-07-05 19:21:56 
Batch 634 / 1000  time:  2023-07-05 19:33:42 
Batch 635 / 1000  time:  2023-07-05 19:45:31 
Batch 636 / 1000  time:  2023-07-05 19:57:17 
Batch 637 / 1000  time:  2023-07-05 20:09:01 
Batch 638 / 1000  time:  2023-07-05 20:20:51 
Batch 639 / 1000  time:  2023-07-05 20:32:41 
Batch 640 / 1000  time:  2023-07-05 20:44:30 
Batch 641 / 1000  time:  2023-07-05 20:56:14 
Batch 642 / 1000  time:  2023-07-05 21:08:02 
Batch 643 / 1000  time:  2023-07-05 21:19:50 
Batch 644 / 1000  time:  2023-07-05 21:31:33 
Batch 645 / 1000  time:  2023-07-05 21:43:15 
Batch 646 / 1000  time:  2023-07-05 21:55:02 
Batch 647 / 1000  time:  2023-07-05 22:06:45 
Batch 648 / 1000  time:  2023-07-05 22:18:35 
Batch 649 / 1000  time:  2023-07-05 22:30:29 
Batch 650 / 1000  time:  2023-07-05 22:42:22 
Batch 651 / 1000  time:  2023-07-05 22:54:17 
Batch 652 / 1000  time:  2023-07-05 23:05:57 
Batch 653 / 1000  time:  2023-07-05 23:17:45 
Batch 654 / 1000  time:  2023-07-05 23:29:37 
Batch 655 / 1000  time:  2023-07-05 23:41:25 
Batch 656 / 1000  time:  2023-07-05 23:53:09 
Batch 657 / 1000  time:  2023-07-06 00:04:56 
Batch 658 / 1000  time:  2023-07-06 00:16:40 
Batch 659 / 1000  time:  2023-07-06 00:28:24 
Batch 660 / 1000  time:  2023-07-06 00:40:08 
Batch 661 / 1000  time:  2023-07-06 00:51:55 
Batch 662 / 1000  time:  2023-07-06 01:03:38 
Batch 663 / 1000  time:  2023-07-06 01:15:24 
Batch 664 / 1000  time:  2023-07-06 01:27:07 
Batch 665 / 1000  time:  2023-07-06 01:38:57 
Batch 666 / 1000  time:  2023-07-06 01:50:46 
Batch 667 / 1000  time:  2023-07-06 02:02:34 
Batch 668 / 1000  time:  2023-07-06 02:14:23 
Batch 669 / 1000  time:  2023-07-06 02:26:13 
Batch 670 / 1000  time:  2023-07-06 02:38:01 
Batch 671 / 1000  time:  2023-07-06 02:49:48 
Batch 672 / 1000  time:  2023-07-06 03:01:37 
Batch 673 / 1000  time:  2023-07-06 03:13:28 
Batch 674 / 1000  time:  2023-07-06 03:25:20 
Batch 675 / 1000  time:  2023-07-06 03:37:11 
Batch 676 / 1000  time:  2023-07-06 03:49:02 
Batch 677 / 1000  time:  2023-07-06 04:00:49 
Batch 678 / 1000  time:  2023-07-06 04:12:40 
Batch 679 / 1000  time:  2023-07-06 04:24:24 
Batch 680 / 1000  time:  2023-07-06 04:36:10 
Batch 681 / 1000  time:  2023-07-06 04:48:05 
Batch 682 / 1000  time:  2023-07-06 04:59:53 
Batch 683 / 1000  time:  2023-07-06 05:11:39 
Batch 684 / 1000  time:  2023-07-06 05:23:29 
Batch 685 / 1000  time:  2023-07-06 05:35:20 
Batch 686 / 1000  time:  2023-07-06 05:47:06 
Batch 687 / 1000  time:  2023-07-06 05:58:50 
Batch 688 / 1000  time:  2023-07-06 06:10:36 
Batch 689 / 1000  time:  2023-07-06 06:22:24 
Batch 690 / 1000  time:  2023-07-06 06:34:12 
Batch 691 / 1000  time:  2023-07-06 06:46:01 
Batch 692 / 1000  time:  2023-07-06 06:57:56 
Batch 693 / 1000  time:  2023-07-06 07:09:41 
Batch 694 / 1000  time:  2023-07-06 07:21:24 
Batch 695 / 1000  time:  2023-07-06 07:33:08 
Batch 696 / 1000  time:  2023-07-06 07:45:00 
Batch 697 / 1000  time:  2023-07-06 07:56:45 
Batch 698 / 1000  time:  2023-07-06 08:08:33 
Batch 699 / 1000  time:  2023-07-06 08:20:19 
Batch 700 / 1000  time:  2023-07-06 08:32:04 
Batch 701 / 1000  time:  2023-07-06 08:43:50 
Batch 702 / 1000  time:  2023-07-06 08:55:37 
Batch 703 / 1000  time:  2023-07-06 09:07:22 
Batch 704 / 1000  time:  2023-07-06 09:19:09 
Batch 705 / 1000  time:  2023-07-06 09:30:54 
Batch 706 / 1000  time:  2023-07-06 09:42:39 
Batch 707 / 1000  time:  2023-07-06 09:54:28 
Batch 708 / 1000  time:  2023-07-06 10:06:15 
Batch 709 / 1000  time:  2023-07-06 10:18:01 
Batch 710 / 1000  time:  2023-07-06 10:29:51 
Batch 711 / 1000  time:  2023-07-06 10:41:40 
Batch 712 / 1000  time:  2023-07-06 10:53:34 
Batch 713 / 1000  time:  2023-07-06 11:05:19 
Batch 714 / 1000  time:  2023-07-06 11:17:05 
Batch 715 / 1000  time:  2023-07-06 11:28:50 
Batch 716 / 1000  time:  2023-07-06 11:40:35 
Batch 717 / 1000  time:  2023-07-06 11:52:26 
Batch 718 / 1000  time:  2023-07-06 12:04:17 
Batch 719 / 1000  time:  2023-07-06 12:16:09 
Batch 720 / 1000  time:  2023-07-06 12:27:54 
Batch 721 / 1000  time:  2023-07-06 12:39:45 
Batch 722 / 1000  time:  2023-07-06 12:51:35 
Batch 723 / 1000  time:  2023-07-06 13:03:21 
Batch 724 / 1000  time:  2023-07-06 13:15:11 
Batch 725 / 1000  time:  2023-07-06 13:26:59 
Batch 726 / 1000  time:  2023-07-06 13:38:45 
Batch 727 / 1000  time:  2023-07-06 13:50:32 
Batch 728 / 1000  time:  2023-07-06 14:02:21 
Batch 729 / 1000  time:  2023-07-06 14:14:08 
Batch 730 / 1000  time:  2023-07-06 14:25:54 
Batch 731 / 1000  time:  2023-07-06 14:37:43 
Batch 732 / 1000  time:  2023-07-06 14:49:36 
Batch 733 / 1000  time:  2023-07-06 15:01:22 
Batch 734 / 1000  time:  2023-07-06 15:13:07 
Batch 735 / 1000  time:  2023-07-06 15:24:58 
Batch 736 / 1000  time:  2023-07-06 15:36:46 
Batch 737 / 1000  time:  2023-07-06 15:48:36 
Batch 738 / 1000  time:  2023-07-06 16:00:20 
Batch 739 / 1000  time:  2023-07-06 16:12:01 
Batch 740 / 1000  time:  2023-07-06 16:23:50 
Batch 741 / 1000  time:  2023-07-06 16:35:32 
Batch 742 / 1000  time:  2023-07-06 16:47:19 
Batch 743 / 1000  time:  2023-07-06 16:59:08 
Batch 744 / 1000  time:  2023-07-06 17:10:56 
Batch 745 / 1000  time:  2023-07-06 17:22:45 
Batch 746 / 1000  time:  2023-07-06 17:34:26 
Batch 747 / 1000  time:  2023-07-06 17:46:07 
Batch 748 / 1000  time:  2023-07-06 17:57:50 
Batch 749 / 1000  time:  2023-07-06 18:09:39 
Batch 750 / 1000  time:  2023-07-06 18:21:36 
Batch 751 / 1000  time:  2023-07-06 18:33:24 
Batch 752 / 1000  time:  2023-07-06 18:45:06 
Batch 753 / 1000  time:  2023-07-06 18:56:48 
Batch 754 / 1000  time:  2023-07-06 19:08:30 
Batch 755 / 1000  time:  2023-07-06 19:20:27 
Batch 756 / 1000  time:  2023-07-06 19:32:14 
Batch 757 / 1000  time:  2023-07-06 19:44:06 
Batch 758 / 1000  time:  2023-07-06 19:55:50 
Batch 759 / 1000  time:  2023-07-06 20:07:49 
Batch 760 / 1000  time:  2023-07-06 20:19:35 
Batch 761 / 1000  time:  2023-07-06 20:31:30 
Batch 762 / 1000  time:  2023-07-06 20:43:11 
Batch 763 / 1000  time:  2023-07-06 20:54:53 
Batch 764 / 1000  time:  2023-07-06 21:06:42 
Batch 765 / 1000  time:  2023-07-06 21:18:31 
Batch 766 / 1000  time:  2023-07-06 21:30:16 
Batch 767 / 1000  time:  2023-07-06 21:42:10 
Batch 768 / 1000  time:  2023-07-06 21:53:57 
Batch 769 / 1000  time:  2023-07-06 22:05:42 
Batch 770 / 1000  time:  2023-07-06 22:17:32 
Batch 771 / 1000  time:  2023-07-06 22:29:20 
Batch 772 / 1000  time:  2023-07-06 22:41:05 
Batch 773 / 1000  time:  2023-07-06 22:52:57 
Batch 774 / 1000  time:  2023-07-06 23:04:44 
Batch 775 / 1000  time:  2023-07-06 23:16:29 
Batch 776 / 1000  time:  2023-07-06 23:28:16 
Batch 777 / 1000  time:  2023-07-06 23:40:01 
Batch 778 / 1000  time:  2023-07-06 23:51:50 
Batch 779 / 1000  time:  2023-07-07 00:03:34 
Batch 780 / 1000  time:  2023-07-07 00:15:20 
Batch 781 / 1000  time:  2023-07-07 00:27:10 
Batch 782 / 1000  time:  2023-07-07 00:38:55 
Batch 783 / 1000  time:  2023-07-07 00:50:46 
Batch 784 / 1000  time:  2023-07-07 01:02:30 
Batch 785 / 1000  time:  2023-07-07 01:14:16 
Batch 786 / 1000  time:  2023-07-07 01:26:05 
Batch 787 / 1000  time:  2023-07-07 01:37:50 
Batch 788 / 1000  time:  2023-07-07 01:49:35 
Batch 789 / 1000  time:  2023-07-07 02:01:21 
Batch 790 / 1000  time:  2023-07-07 02:13:05 
Batch 791 / 1000  time:  2023-07-07 02:24:51 
Batch 792 / 1000  time:  2023-07-07 02:36:37 
Batch 793 / 1000  time:  2023-07-07 02:48:24 
Batch 794 / 1000  time:  2023-07-07 03:00:15 
Batch 795 / 1000  time:  2023-07-07 03:12:05 
Batch 796 / 1000  time:  2023-07-07 03:23:56 
Batch 797 / 1000  time:  2023-07-07 03:35:45 
Batch 798 / 1000  time:  2023-07-07 03:47:32 
Batch 799 / 1000  time:  2023-07-07 03:59:27 
Batch 800 / 1000  time:  2023-07-07 04:11:16 
Batch 801 / 1000  time:  2023-07-07 04:23:04 
Batch 802 / 1000  time:  2023-07-07 04:34:50 
Batch 803 / 1000  time:  2023-07-07 04:46:48 
Batch 804 / 1000  time:  2023-07-07 04:58:39 
Batch 805 / 1000  time:  2023-07-07 05:10:33 
Batch 806 / 1000  time:  2023-07-07 05:22:18 
Batch 807 / 1000  time:  2023-07-07 05:34:06 
Batch 808 / 1000  time:  2023-07-07 05:45:53 
Batch 809 / 1000  time:  2023-07-07 05:57:44 
Batch 810 / 1000  time:  2023-07-07 06:09:33 
Batch 811 / 1000  time:  2023-07-07 06:21:19 
Batch 812 / 1000  time:  2023-07-07 06:33:12 
Batch 813 / 1000  time:  2023-07-07 06:45:04 
Batch 814 / 1000  time:  2023-07-07 06:56:52 
Batch 815 / 1000  time:  2023-07-07 07:08:42 
Batch 816 / 1000  time:  2023-07-07 07:20:30 
Batch 817 / 1000  time:  2023-07-07 07:32:19 
Batch 818 / 1000  time:  2023-07-07 07:44:11 
Batch 819 / 1000  time:  2023-07-07 07:56:00 
Batch 820 / 1000  time:  2023-07-07 08:07:50 
Batch 821 / 1000  time:  2023-07-07 08:19:37 
Batch 822 / 1000  time:  2023-07-07 08:31:25 
Batch 823 / 1000  time:  2023-07-07 08:43:13 
Batch 824 / 1000  time:  2023-07-07 08:55:00 
Batch 825 / 1000  time:  2023-07-07 09:06:49 
Batch 826 / 1000  time:  2023-07-07 09:18:35 
Batch 827 / 1000  time:  2023-07-07 09:30:23 
Batch 828 / 1000  time:  2023-07-07 09:42:09 
Batch 829 / 1000  time:  2023-07-07 09:53:55 
Batch 830 / 1000  time:  2023-07-07 10:05:45 
Batch 831 / 1000  time:  2023-07-07 10:17:40 
Batch 832 / 1000  time:  2023-07-07 10:29:28 
Batch 833 / 1000  time:  2023-07-07 10:41:18 
Batch 834 / 1000  time:  2023-07-07 10:53:08 
Batch 835 / 1000  time:  2023-07-07 11:04:55 
Batch 836 / 1000  time:  2023-07-07 11:16:44 
Batch 837 / 1000  time:  2023-07-07 11:28:41 
Batch 838 / 1000  time:  2023-07-07 11:40:34 
Batch 839 / 1000  time:  2023-07-07 11:52:25 
Batch 840 / 1000  time:  2023-07-07 12:04:15 
Batch 841 / 1000  time:  2023-07-07 12:16:03 
Batch 842 / 1000  time:  2023-07-07 12:27:52 
Batch 843 / 1000  time:  2023-07-07 12:39:33 
Batch 844 / 1000  time:  2023-07-07 12:51:12 
Batch 845 / 1000  time:  2023-07-07 13:02:53 
Batch 846 / 1000  time:  2023-07-07 13:14:41 
Batch 847 / 1000  time:  2023-07-07 13:26:30 
Batch 848 / 1000  time:  2023-07-07 13:38:12 
Batch 849 / 1000  time:  2023-07-07 13:50:00 
Batch 850 / 1000  time:  2023-07-07 14:01:48 
Batch 851 / 1000  time:  2023-07-07 14:13:38 
Batch 852 / 1000  time:  2023-07-07 14:25:18 
Batch 853 / 1000  time:  2023-07-07 14:37:14 
Batch 854 / 1000  time:  2023-07-07 14:49:11 
Batch 855 / 1000  time:  2023-07-07 15:01:00 
Batch 856 / 1000  time:  2023-07-07 15:12:57 
Batch 857 / 1000  time:  2023-07-07 15:24:46 
Batch 858 / 1000  time:  2023-07-07 15:36:41 
Batch 859 / 1000  time:  2023-07-07 15:48:27 
Batch 860 / 1000  time:  2023-07-07 16:00:15 
Batch 861 / 1000  time:  2023-07-07 16:12:09 
Batch 862 / 1000  time:  2023-07-07 16:24:01 
Batch 863 / 1000  time:  2023-07-07 16:35:49 
Batch 864 / 1000  time:  2023-07-07 16:47:45 
Batch 865 / 1000  time:  2023-07-07 16:59:30 
Batch 866 / 1000  time:  2023-07-07 17:11:19 
Batch 867 / 1000  time:  2023-07-07 17:23:00 
Batch 868 / 1000  time:  2023-07-07 17:34:56 
Batch 869 / 1000  time:  2023-07-07 17:46:52 
Batch 870 / 1000  time:  2023-07-07 17:58:47 
Batch 871 / 1000  time:  2023-07-07 18:10:30 
Batch 872 / 1000  time:  2023-07-07 18:22:12 
Batch 873 / 1000  time:  2023-07-07 18:33:58 
Batch 874 / 1000  time:  2023-07-07 18:45:40 
Batch 875 / 1000  time:  2023-07-07 18:57:32 
Batch 876 / 1000  time:  2023-07-07 19:09:22 
Batch 877 / 1000  time:  2023-07-07 19:21:09 
Batch 878 / 1000  time:  2023-07-07 19:32:57 
Batch 879 / 1000  time:  2023-07-07 19:44:49 
Batch 880 / 1000  time:  2023-07-07 19:56:36 
Batch 881 / 1000  time:  2023-07-07 20:08:32 
Batch 882 / 1000  time:  2023-07-07 20:20:24 
Batch 883 / 1000  time:  2023-07-07 20:32:14 
Batch 884 / 1000  time:  2023-07-07 20:44:07 
Batch 885 / 1000  time:  2023-07-07 20:55:57 
Batch 886 / 1000  time:  2023-07-07 21:07:43 
Batch 887 / 1000  time:  2023-07-07 21:19:30 
Batch 888 / 1000  time:  2023-07-07 21:31:17 
Batch 889 / 1000  time:  2023-07-07 21:43:06 
Batch 890 / 1000  time:  2023-07-07 21:54:54 
Batch 891 / 1000  time:  2023-07-07 22:06:41 
Batch 892 / 1000  time:  2023-07-07 22:18:28 
Batch 893 / 1000  time:  2023-07-07 22:30:16 
Batch 894 / 1000  time:  2023-07-07 22:42:04 
Batch 895 / 1000  time:  2023-07-07 22:53:51 
Batch 896 / 1000  time:  2023-07-07 23:05:39 
Batch 897 / 1000  time:  2023-07-07 23:17:26 
Batch 898 / 1000  time:  2023-07-07 23:29:15 
Batch 899 / 1000  time:  2023-07-07 23:41:05 
Batch 900 / 1000  time:  2023-07-07 23:52:55 
Batch 901 / 1000  time:  2023-07-08 00:04:45 
Batch 902 / 1000  time:  2023-07-08 00:16:31 
Batch 903 / 1000  time:  2023-07-08 00:28:17 
Batch 904 / 1000  time:  2023-07-08 00:40:11 
Batch 905 / 1000  time:  2023-07-08 00:51:59 
Batch 906 / 1000  time:  2023-07-08 01:03:45 
Batch 907 / 1000  time:  2023-07-08 01:15:34 
Batch 908 / 1000  time:  2023-07-08 01:27:24 
Batch 909 / 1000  time:  2023-07-08 01:39:11 
Batch 910 / 1000  time:  2023-07-08 01:51:02 
Batch 911 / 1000  time:  2023-07-08 02:02:50 
Batch 912 / 1000  time:  2023-07-08 02:14:38 
Batch 913 / 1000  time:  2023-07-08 02:26:25 
Batch 914 / 1000  time:  2023-07-08 02:38:15 
Batch 915 / 1000  time:  2023-07-08 02:50:02 
Batch 916 / 1000  time:  2023-07-08 03:01:47 
Batch 917 / 1000  time:  2023-07-08 03:13:33 
Batch 918 / 1000  time:  2023-07-08 03:25:20 
Batch 919 / 1000  time:  2023-07-08 03:37:09 
Batch 920 / 1000  time:  2023-07-08 03:48:56 
Batch 921 / 1000  time:  2023-07-08 04:00:43 
Batch 922 / 1000  time:  2023-07-08 04:12:29 
Batch 923 / 1000  time:  2023-07-08 04:24:16 
Batch 924 / 1000  time:  2023-07-08 04:36:02 
Batch 925 / 1000  time:  2023-07-08 04:47:48 
Batch 926 / 1000  time:  2023-07-08 04:59:35 
Batch 927 / 1000  time:  2023-07-08 05:11:21 
Batch 928 / 1000  time:  2023-07-08 05:23:10 
Batch 929 / 1000  time:  2023-07-08 05:34:59 
Batch 930 / 1000  time:  2023-07-08 05:46:47 
Batch 931 / 1000  time:  2023-07-08 05:58:35 
Batch 932 / 1000  time:  2023-07-08 06:10:21 
Batch 933 / 1000  time:  2023-07-08 06:22:07 
Batch 934 / 1000  time:  2023-07-08 06:33:54 
Batch 935 / 1000  time:  2023-07-08 06:45:40 
Batch 936 / 1000  time:  2023-07-08 06:57:27 
Batch 937 / 1000  time:  2023-07-08 07:09:14 
Batch 938 / 1000  time:  2023-07-08 07:21:00 
Batch 939 / 1000  time:  2023-07-08 07:32:48 
Batch 940 / 1000  time:  2023-07-08 07:44:35 
Batch 941 / 1000  time:  2023-07-08 07:56:22 
Batch 942 / 1000  time:  2023-07-08 08:08:10 
Batch 943 / 1000  time:  2023-07-08 08:19:57 
Batch 944 / 1000  time:  2023-07-08 08:31:42 
Batch 945 / 1000  time:  2023-07-08 08:43:30 
Batch 946 / 1000  time:  2023-07-08 08:55:18 
Batch 947 / 1000  time:  2023-07-08 09:07:04 
Batch 948 / 1000  time:  2023-07-08 09:18:50 
Batch 949 / 1000  time:  2023-07-08 09:30:40 
Batch 950 / 1000  time:  2023-07-08 09:42:26 
Batch 951 / 1000  time:  2023-07-08 09:54:17 
Batch 952 / 1000  time:  2023-07-08 10:06:05 
Batch 953 / 1000  time:  2023-07-08 10:17:51 
Batch 954 / 1000  time:  2023-07-08 10:29:38 
Batch 955 / 1000  time:  2023-07-08 10:41:24 
Batch 956 / 1000  time:  2023-07-08 10:53:11 
Batch 957 / 1000  time:  2023-07-08 11:04:58 
Batch 958 / 1000  time:  2023-07-08 11:16:44 
Batch 959 / 1000  time:  2023-07-08 11:28:32 
Batch 960 / 1000  time:  2023-07-08 11:40:20 
Batch 961 / 1000  time:  2023-07-08 11:52:09 
Batch 962 / 1000  time:  2023-07-08 12:03:57 
Batch 963 / 1000  time:  2023-07-08 12:15:45 
Batch 964 / 1000  time:  2023-07-08 12:27:33 
Batch 965 / 1000  time:  2023-07-08 12:39:16 
Batch 966 / 1000  time:  2023-07-08 12:51:03 
Batch 967 / 1000  time:  2023-07-08 13:03:00 
Batch 968 / 1000  time:  2023-07-08 13:14:58 
Batch 969 / 1000  time:  2023-07-08 13:26:44 
Batch 970 / 1000  time:  2023-07-08 13:38:29 
Batch 971 / 1000  time:  2023-07-08 13:50:19 
Batch 972 / 1000  time:  2023-07-08 14:02:10 
Batch 973 / 1000  time:  2023-07-08 14:13:57 
Batch 974 / 1000  time:  2023-07-08 14:25:44 
Batch 975 / 1000  time:  2023-07-08 14:37:30 
Batch 976 / 1000  time:  2023-07-08 14:49:14 
Batch 977 / 1000  time:  2023-07-08 15:01:07 
Batch 978 / 1000  time:  2023-07-08 15:12:52 
Batch 979 / 1000  time:  2023-07-08 15:24:38 
Batch 980 / 1000  time:  2023-07-08 15:36:24 
Batch 981 / 1000  time:  2023-07-08 15:48:12 
Batch 982 / 1000  time:  2023-07-08 16:00:03 
Batch 983 / 1000  time:  2023-07-08 16:11:48 
Batch 984 / 1000  time:  2023-07-08 16:23:33 
Batch 985 / 1000  time:  2023-07-08 16:35:23 
Batch 986 / 1000  time:  2023-07-08 16:47:14 
Batch 987 / 1000  time:  2023-07-08 16:58:58 
Batch 988 / 1000  time:  2023-07-08 17:10:47 
Batch 989 / 1000  time:  2023-07-08 17:22:32 
Batch 990 / 1000  time:  2023-07-08 17:34:17 
Batch 991 / 1000  time:  2023-07-08 17:46:02 
Batch 992 / 1000  time:  2023-07-08 17:57:52 
Batch 993 / 1000  time:  2023-07-08 18:09:48 
Batch 994 / 1000  time:  2023-07-08 18:21:35 
