Empirical aplication  indonesianRice  has began at: 2023-06-30 16:36:20 
Batch 497 / 1000  time:  2023-07-04 00:34:31 
Batch 498 / 1000  time:  2023-07-04 00:44:13 
Batch 499 / 1000  time:  2023-07-04 00:53:52 
Batch 500 / 1000  time:  2023-07-04 01:03:27 
Batch 501 / 1000  time:  2023-07-04 01:13:05 
Batch 502 / 1000  time:  2023-07-04 01:22:44 
Batch 503 / 1000  time:  2023-07-04 01:32:18 
Batch 504 / 1000  time:  2023-07-04 01:41:52 
Batch 505 / 1000  time:  2023-07-04 01:51:28 
Batch 506 / 1000  time:  2023-07-04 02:01:09 
Batch 507 / 1000  time:  2023-07-04 02:10:43 
Batch 508 / 1000  time:  2023-07-04 02:20:16 
Batch 509 / 1000  time:  2023-07-04 02:29:51 
Batch 510 / 1000  time:  2023-07-04 02:39:25 
Batch 511 / 1000  time:  2023-07-04 02:49:00 
Batch 512 / 1000  time:  2023-07-04 02:58:42 
Batch 513 / 1000  time:  2023-07-04 03:08:22 
Batch 514 / 1000  time:  2023-07-04 03:18:02 
Batch 515 / 1000  time:  2023-07-04 03:27:36 
Batch 516 / 1000  time:  2023-07-04 03:37:09 
Batch 517 / 1000  time:  2023-07-04 03:46:44 
Batch 518 / 1000  time:  2023-07-04 03:56:23 
Batch 519 / 1000  time:  2023-07-04 04:05:58 
Batch 520 / 1000  time:  2023-07-04 04:15:31 
Batch 521 / 1000  time:  2023-07-04 04:25:06 
Batch 522 / 1000  time:  2023-07-04 04:34:43 
Batch 523 / 1000  time:  2023-07-04 04:44:16 
Batch 524 / 1000  time:  2023-07-04 04:53:49 
Batch 525 / 1000  time:  2023-07-04 05:03:22 
Batch 526 / 1000  time:  2023-07-04 05:12:56 
Batch 527 / 1000  time:  2023-07-04 05:22:29 
Batch 528 / 1000  time:  2023-07-04 05:32:02 
Batch 529 / 1000  time:  2023-07-04 05:41:36 
Batch 530 / 1000  time:  2023-07-04 05:51:10 
Batch 531 / 1000  time:  2023-07-04 06:00:51 
Batch 532 / 1000  time:  2023-07-04 06:10:29 
Batch 533 / 1000  time:  2023-07-04 06:20:02 
Batch 534 / 1000  time:  2023-07-04 06:29:35 
Batch 535 / 1000  time:  2023-07-04 06:39:09 
Batch 536 / 1000  time:  2023-07-04 06:48:43 
Batch 537 / 1000  time:  2023-07-04 06:58:25 
Batch 538 / 1000  time:  2023-07-04 07:08:05 
Batch 539 / 1000  time:  2023-07-04 07:17:39 
Batch 540 / 1000  time:  2023-07-04 07:27:18 
Batch 541 / 1000  time:  2023-07-04 07:36:53 
Batch 542 / 1000  time:  2023-07-04 07:46:27 
Batch 543 / 1000  time:  2023-07-04 07:56:01 
Batch 544 / 1000  time:  2023-07-04 08:05:36 
Batch 545 / 1000  time:  2023-07-04 08:15:10 
Batch 546 / 1000  time:  2023-07-04 08:24:44 
Batch 547 / 1000  time:  2023-07-04 08:34:17 
Batch 548 / 1000  time:  2023-07-04 08:43:51 
Batch 549 / 1000  time:  2023-07-04 08:53:30 
Batch 550 / 1000  time:  2023-07-04 09:03:06 
Batch 551 / 1000  time:  2023-07-04 09:12:47 
Batch 552 / 1000  time:  2023-07-04 09:22:21 
Batch 553 / 1000  time:  2023-07-04 09:31:56 
Batch 554 / 1000  time:  2023-07-04 09:41:29 
Batch 555 / 1000  time:  2023-07-04 09:51:03 
Batch 556 / 1000  time:  2023-07-04 10:00:37 
Batch 557 / 1000  time:  2023-07-04 10:10:11 
Batch 558 / 1000  time:  2023-07-04 10:19:45 
Batch 559 / 1000  time:  2023-07-04 10:29:19 
Batch 560 / 1000  time:  2023-07-04 10:38:58 
Batch 561 / 1000  time:  2023-07-04 10:48:38 
Batch 562 / 1000  time:  2023-07-04 10:58:12 
Batch 563 / 1000  time:  2023-07-04 11:07:45 
Batch 564 / 1000  time:  2023-07-04 11:17:20 
Batch 565 / 1000  time:  2023-07-04 11:26:54 
Batch 566 / 1000  time:  2023-07-04 11:36:28 
Batch 567 / 1000  time:  2023-07-04 11:46:02 
Batch 568 / 1000  time:  2023-07-04 11:55:39 
Batch 569 / 1000  time:  2023-07-04 12:05:14 
Batch 570 / 1000  time:  2023-07-04 12:14:52 
Batch 571 / 1000  time:  2023-07-04 12:24:38 
Batch 572 / 1000  time:  2023-07-04 12:34:11 
Batch 573 / 1000  time:  2023-07-04 12:43:45 
Batch 574 / 1000  time:  2023-07-04 12:53:19 
Batch 575 / 1000  time:  2023-07-04 13:02:54 
Batch 576 / 1000  time:  2023-07-04 13:12:27 
Batch 577 / 1000  time:  2023-07-04 13:22:05 
Batch 578 / 1000  time:  2023-07-04 13:31:38 
Batch 579 / 1000  time:  2023-07-04 13:41:17 
Batch 580 / 1000  time:  2023-07-04 13:50:53 
Batch 581 / 1000  time:  2023-07-04 14:00:30 
Batch 582 / 1000  time:  2023-07-04 14:10:04 
Batch 583 / 1000  time:  2023-07-04 14:19:38 
Batch 584 / 1000  time:  2023-07-04 14:29:12 
Batch 585 / 1000  time:  2023-07-04 14:38:46 
Batch 586 / 1000  time:  2023-07-04 14:48:19 
Batch 587 / 1000  time:  2023-07-04 14:57:57 
Batch 588 / 1000  time:  2023-07-04 15:07:30 
Batch 589 / 1000  time:  2023-07-04 15:17:04 
Batch 590 / 1000  time:  2023-07-04 15:26:37 
Batch 591 / 1000  time:  2023-07-04 15:36:16 
Batch 592 / 1000  time:  2023-07-04 15:45:50 
Batch 593 / 1000  time:  2023-07-04 15:55:23 
Batch 594 / 1000  time:  2023-07-04 16:04:57 
Batch 595 / 1000  time:  2023-07-04 16:14:30 
Batch 596 / 1000  time:  2023-07-04 16:24:03 
Batch 597 / 1000  time:  2023-07-04 16:33:39 
Batch 598 / 1000  time:  2023-07-04 16:43:12 
Batch 599 / 1000  time:  2023-07-04 16:52:46 
Batch 600 / 1000  time:  2023-07-04 17:02:19 
Batch 601 / 1000  time:  2023-07-04 17:11:53 
Batch 602 / 1000  time:  2023-07-04 17:21:30 
Batch 603 / 1000  time:  2023-07-04 17:31:04 
Batch 604 / 1000  time:  2023-07-04 17:40:37 
Batch 605 / 1000  time:  2023-07-04 17:50:11 
Batch 606 / 1000  time:  2023-07-04 17:59:44 
Batch 607 / 1000  time:  2023-07-04 18:09:23 
Batch 608 / 1000  time:  2023-07-04 18:18:56 
Batch 609 / 1000  time:  2023-07-04 18:28:39 
Batch 610 / 1000  time:  2023-07-04 18:38:12 
Batch 611 / 1000  time:  2023-07-04 18:47:46 
Batch 612 / 1000  time:  2023-07-04 18:57:19 
Batch 613 / 1000  time:  2023-07-04 19:06:54 
Batch 614 / 1000  time:  2023-07-04 19:16:28 
Batch 615 / 1000  time:  2023-07-04 19:26:01 
Batch 616 / 1000  time:  2023-07-04 19:35:35 
Batch 617 / 1000  time:  2023-07-04 19:45:16 
Batch 618 / 1000  time:  2023-07-04 19:54:49 
Batch 619 / 1000  time:  2023-07-04 20:04:24 
Batch 620 / 1000  time:  2023-07-04 20:14:05 
Batch 621 / 1000  time:  2023-07-04 20:23:40 
Batch 622 / 1000  time:  2023-07-04 20:33:16 
Batch 623 / 1000  time:  2023-07-04 20:42:49 
Batch 624 / 1000  time:  2023-07-04 20:52:22 
Batch 625 / 1000  time:  2023-07-04 21:01:54 
Batch 626 / 1000  time:  2023-07-04 21:11:32 
Batch 627 / 1000  time:  2023-07-04 21:21:12 
Batch 628 / 1000  time:  2023-07-04 21:30:54 
Batch 629 / 1000  time:  2023-07-04 21:40:28 
Batch 630 / 1000  time:  2023-07-04 21:50:02 
Batch 631 / 1000  time:  2023-07-04 21:59:36 
Batch 632 / 1000  time:  2023-07-04 22:09:16 
Batch 633 / 1000  time:  2023-07-04 22:18:51 
Batch 634 / 1000  time:  2023-07-04 22:28:24 
Batch 635 / 1000  time:  2023-07-04 22:38:01 
Batch 636 / 1000  time:  2023-07-04 22:47:37 
Batch 637 / 1000  time:  2023-07-04 22:57:11 
Batch 638 / 1000  time:  2023-07-04 23:06:47 
Batch 639 / 1000  time:  2023-07-04 23:16:28 
Batch 640 / 1000  time:  2023-07-04 23:26:06 
Batch 641 / 1000  time:  2023-07-04 23:35:43 
Batch 642 / 1000  time:  2023-07-04 23:45:22 
Batch 643 / 1000  time:  2023-07-04 23:55:00 
Batch 644 / 1000  time:  2023-07-05 00:04:34 
Batch 645 / 1000  time:  2023-07-05 00:14:11 
Batch 646 / 1000  time:  2023-07-05 00:23:44 
Batch 647 / 1000  time:  2023-07-05 00:33:17 
Batch 648 / 1000  time:  2023-07-05 00:42:50 
Batch 649 / 1000  time:  2023-07-05 00:52:24 
Batch 650 / 1000  time:  2023-07-05 01:02:08 
Batch 651 / 1000  time:  2023-07-05 01:11:42 
Batch 652 / 1000  time:  2023-07-05 01:21:19 
Batch 653 / 1000  time:  2023-07-05 01:31:01 
Batch 654 / 1000  time:  2023-07-05 01:40:38 
Batch 655 / 1000  time:  2023-07-05 01:50:13 
Batch 656 / 1000  time:  2023-07-05 01:59:50 
Batch 657 / 1000  time:  2023-07-05 02:09:31 
Batch 658 / 1000  time:  2023-07-05 02:19:11 
Batch 659 / 1000  time:  2023-07-05 02:28:45 
Batch 660 / 1000  time:  2023-07-05 02:38:24 
Batch 661 / 1000  time:  2023-07-05 02:48:02 
Batch 662 / 1000  time:  2023-07-05 02:57:41 
Batch 663 / 1000  time:  2023-07-05 03:07:20 
Batch 664 / 1000  time:  2023-07-05 03:16:59 
Batch 665 / 1000  time:  2023-07-05 03:26:38 
Batch 666 / 1000  time:  2023-07-05 03:36:17 
Batch 667 / 1000  time:  2023-07-05 03:45:53 
Batch 668 / 1000  time:  2023-07-05 03:55:34 
Batch 669 / 1000  time:  2023-07-05 04:05:12 
Batch 670 / 1000  time:  2023-07-05 04:14:51 
Batch 671 / 1000  time:  2023-07-05 04:24:28 
Batch 672 / 1000  time:  2023-07-05 04:34:02 
Batch 673 / 1000  time:  2023-07-05 04:43:37 
Batch 674 / 1000  time:  2023-07-05 04:53:15 
Batch 675 / 1000  time:  2023-07-05 05:02:52 
Batch 676 / 1000  time:  2023-07-05 05:12:27 
Batch 677 / 1000  time:  2023-07-05 05:22:08 
Batch 678 / 1000  time:  2023-07-05 05:31:53 
Batch 679 / 1000  time:  2023-07-05 05:41:36 
Batch 680 / 1000  time:  2023-07-05 05:51:12 
Batch 681 / 1000  time:  2023-07-05 06:00:55 
Batch 682 / 1000  time:  2023-07-05 06:10:34 
Batch 683 / 1000  time:  2023-07-05 06:20:10 
Batch 684 / 1000  time:  2023-07-05 06:29:45 
Batch 685 / 1000  time:  2023-07-05 06:39:24 
Batch 686 / 1000  time:  2023-07-05 06:49:08 
Batch 687 / 1000  time:  2023-07-05 06:58:49 
Batch 688 / 1000  time:  2023-07-05 07:08:26 
Batch 689 / 1000  time:  2023-07-05 07:18:00 
Batch 690 / 1000  time:  2023-07-05 07:27:42 
Batch 691 / 1000  time:  2023-07-05 07:37:17 
Batch 692 / 1000  time:  2023-07-05 07:46:51 
Batch 693 / 1000  time:  2023-07-05 07:56:24 
Batch 694 / 1000  time:  2023-07-05 08:06:05 
Batch 695 / 1000  time:  2023-07-05 08:15:38 
Batch 696 / 1000  time:  2023-07-05 08:25:14 
Batch 697 / 1000  time:  2023-07-05 08:34:47 
Batch 698 / 1000  time:  2023-07-05 08:44:20 
Batch 699 / 1000  time:  2023-07-05 08:54:02 
Batch 700 / 1000  time:  2023-07-05 09:03:36 
Batch 701 / 1000  time:  2023-07-05 09:13:09 
Batch 702 / 1000  time:  2023-07-05 09:22:45 
Batch 703 / 1000  time:  2023-07-05 09:32:19 
Batch 704 / 1000  time:  2023-07-05 09:41:53 
Batch 705 / 1000  time:  2023-07-05 09:51:27 
Batch 706 / 1000  time:  2023-07-05 10:01:00 
Batch 707 / 1000  time:  2023-07-05 10:10:39 
Batch 708 / 1000  time:  2023-07-05 10:20:12 
Batch 709 / 1000  time:  2023-07-05 10:29:49 
Batch 710 / 1000  time:  2023-07-05 10:39:41 
Batch 711 / 1000  time:  2023-07-05 10:49:15 
Batch 712 / 1000  time:  2023-07-05 10:58:52 
Batch 713 / 1000  time:  2023-07-05 11:08:31 
Batch 714 / 1000  time:  2023-07-05 11:18:10 
Batch 715 / 1000  time:  2023-07-05 11:27:50 
Batch 716 / 1000  time:  2023-07-05 11:37:29 
Batch 717 / 1000  time:  2023-07-05 11:47:07 
Batch 718 / 1000  time:  2023-07-05 11:56:46 
Batch 719 / 1000  time:  2023-07-05 12:06:27 
Batch 720 / 1000  time:  2023-07-05 12:16:01 
Batch 721 / 1000  time:  2023-07-05 12:25:35 
Batch 722 / 1000  time:  2023-07-05 12:35:13 
Batch 723 / 1000  time:  2023-07-05 12:44:46 
Batch 724 / 1000  time:  2023-07-05 12:54:21 
Batch 725 / 1000  time:  2023-07-05 13:03:58 
Batch 726 / 1000  time:  2023-07-05 13:13:37 
Batch 727 / 1000  time:  2023-07-05 13:23:16 
Batch 728 / 1000  time:  2023-07-05 13:32:48 
Batch 729 / 1000  time:  2023-07-05 13:42:21 
Batch 730 / 1000  time:  2023-07-05 13:51:54 
Batch 731 / 1000  time:  2023-07-05 14:01:32 
Batch 732 / 1000  time:  2023-07-05 14:11:05 
Batch 733 / 1000  time:  2023-07-05 14:20:45 
Batch 734 / 1000  time:  2023-07-05 14:30:24 
Batch 735 / 1000  time:  2023-07-05 14:39:58 
Batch 736 / 1000  time:  2023-07-05 14:49:31 
Batch 737 / 1000  time:  2023-07-05 14:59:05 
Batch 738 / 1000  time:  2023-07-05 15:08:39 
Batch 739 / 1000  time:  2023-07-05 15:18:13 
Batch 740 / 1000  time:  2023-07-05 15:27:47 
Batch 741 / 1000  time:  2023-07-05 15:37:19 
Batch 742 / 1000  time:  2023-07-05 15:46:52 
Batch 743 / 1000  time:  2023-07-05 15:56:27 
Batch 744 / 1000  time:  2023-07-05 16:06:05 
Batch 745 / 1000  time:  2023-07-05 16:15:39 
Batch 746 / 1000  time:  2023-07-05 16:25:13 
Batch 747 / 1000  time:  2023-07-05 16:34:47 
Batch 748 / 1000  time:  2023-07-05 16:44:25 
Batch 749 / 1000  time:  2023-07-05 16:53:59 
Batch 750 / 1000  time:  2023-07-05 17:03:32 
Batch 751 / 1000  time:  2023-07-05 17:13:06 
Batch 752 / 1000  time:  2023-07-05 17:22:43 
Batch 753 / 1000  time:  2023-07-05 17:32:16 
Batch 754 / 1000  time:  2023-07-05 17:41:52 
Batch 755 / 1000  time:  2023-07-05 17:51:25 
Batch 756 / 1000  time:  2023-07-05 18:00:58 
Batch 757 / 1000  time:  2023-07-05 18:10:31 
Batch 758 / 1000  time:  2023-07-05 18:20:04 
Batch 759 / 1000  time:  2023-07-05 18:29:44 
Batch 760 / 1000  time:  2023-07-05 18:39:17 
Batch 761 / 1000  time:  2023-07-05 18:48:56 
Batch 762 / 1000  time:  2023-07-05 18:58:31 
Batch 763 / 1000  time:  2023-07-05 19:08:04 
Batch 764 / 1000  time:  2023-07-05 19:17:45 
Batch 765 / 1000  time:  2023-07-05 19:27:18 
Batch 766 / 1000  time:  2023-07-05 19:37:04 
Batch 767 / 1000  time:  2023-07-05 19:46:41 
Batch 768 / 1000  time:  2023-07-05 19:56:15 
Batch 769 / 1000  time:  2023-07-05 20:05:48 
Batch 770 / 1000  time:  2023-07-05 20:15:22 
Batch 771 / 1000  time:  2023-07-05 20:24:55 
Batch 772 / 1000  time:  2023-07-05 20:34:39 
Batch 773 / 1000  time:  2023-07-05 20:44:12 
Batch 774 / 1000  time:  2023-07-05 20:53:45 
Batch 775 / 1000  time:  2023-07-05 21:03:20 
Batch 776 / 1000  time:  2023-07-05 21:12:54 
Batch 777 / 1000  time:  2023-07-05 21:22:27 
Batch 778 / 1000  time:  2023-07-05 21:32:00 
Batch 779 / 1000  time:  2023-07-05 21:41:40 
Batch 780 / 1000  time:  2023-07-05 21:51:26 
Batch 781 / 1000  time:  2023-07-05 22:01:00 
Batch 782 / 1000  time:  2023-07-05 22:10:34 
Batch 783 / 1000  time:  2023-07-05 22:20:07 
Batch 784 / 1000  time:  2023-07-05 22:29:53 
Batch 785 / 1000  time:  2023-07-05 22:39:33 
Batch 786 / 1000  time:  2023-07-05 22:49:06 
Batch 787 / 1000  time:  2023-07-05 22:58:44 
Batch 788 / 1000  time:  2023-07-05 23:08:20 
Batch 789 / 1000  time:  2023-07-05 23:17:54 
Batch 790 / 1000  time:  2023-07-05 23:27:32 
Batch 791 / 1000  time:  2023-07-05 23:37:05 
Batch 792 / 1000  time:  2023-07-05 23:46:39 
Batch 793 / 1000  time:  2023-07-05 23:56:13 
Batch 794 / 1000  time:  2023-07-06 00:05:48 
Batch 795 / 1000  time:  2023-07-06 00:15:24 
Batch 796 / 1000  time:  2023-07-06 00:24:57 
Batch 797 / 1000  time:  2023-07-06 00:34:31 
Batch 798 / 1000  time:  2023-07-06 00:44:11 
Batch 799 / 1000  time:  2023-07-06 00:53:43 
Batch 800 / 1000  time:  2023-07-06 01:03:17 
Batch 801 / 1000  time:  2023-07-06 01:12:54 
Batch 802 / 1000  time:  2023-07-06 01:22:27 
Batch 803 / 1000  time:  2023-07-06 01:32:01 
Batch 804 / 1000  time:  2023-07-06 01:41:34 
Batch 805 / 1000  time:  2023-07-06 01:51:07 
Batch 806 / 1000  time:  2023-07-06 02:00:40 
Batch 807 / 1000  time:  2023-07-06 02:10:15 
Batch 808 / 1000  time:  2023-07-06 02:19:54 
Batch 809 / 1000  time:  2023-07-06 02:29:35 
Batch 810 / 1000  time:  2023-07-06 02:39:11 
Batch 811 / 1000  time:  2023-07-06 02:48:50 
Batch 812 / 1000  time:  2023-07-06 02:58:24 
Batch 813 / 1000  time:  2023-07-06 03:07:58 
Batch 814 / 1000  time:  2023-07-06 03:17:38 
Batch 815 / 1000  time:  2023-07-06 03:27:18 
Batch 816 / 1000  time:  2023-07-06 03:36:56 
Batch 817 / 1000  time:  2023-07-06 03:46:38 
Batch 818 / 1000  time:  2023-07-06 03:56:14 
Batch 819 / 1000  time:  2023-07-06 04:05:55 
Batch 820 / 1000  time:  2023-07-06 04:15:35 
Batch 821 / 1000  time:  2023-07-06 04:25:13 
Batch 822 / 1000  time:  2023-07-06 04:34:50 
Batch 823 / 1000  time:  2023-07-06 04:44:32 
Batch 824 / 1000  time:  2023-07-06 04:54:10 
Batch 825 / 1000  time:  2023-07-06 05:03:48 
Batch 826 / 1000  time:  2023-07-06 05:13:23 
Batch 827 / 1000  time:  2023-07-06 05:22:57 
Batch 828 / 1000  time:  2023-07-06 05:32:33 
Batch 829 / 1000  time:  2023-07-06 05:42:07 
Batch 830 / 1000  time:  2023-07-06 05:51:46 
Batch 831 / 1000  time:  2023-07-06 06:01:21 
Batch 832 / 1000  time:  2023-07-06 06:10:54 
Batch 833 / 1000  time:  2023-07-06 06:20:28 
Batch 834 / 1000  time:  2023-07-06 06:30:06 
Batch 835 / 1000  time:  2023-07-06 06:39:45 
Batch 836 / 1000  time:  2023-07-06 06:49:22 
Batch 837 / 1000  time:  2023-07-06 06:59:05 
Batch 838 / 1000  time:  2023-07-06 07:08:38 
Batch 839 / 1000  time:  2023-07-06 07:18:14 
Batch 840 / 1000  time:  2023-07-06 07:27:50 
Batch 841 / 1000  time:  2023-07-06 07:37:24 
Batch 842 / 1000  time:  2023-07-06 07:47:00 
Batch 843 / 1000  time:  2023-07-06 07:56:37 
Batch 844 / 1000  time:  2023-07-06 08:06:16 
Batch 845 / 1000  time:  2023-07-06 08:15:49 
Batch 846 / 1000  time:  2023-07-06 08:25:25 
Batch 847 / 1000  time:  2023-07-06 08:35:07 
Batch 848 / 1000  time:  2023-07-06 08:44:43 
Batch 849 / 1000  time:  2023-07-06 08:54:16 
Batch 850 / 1000  time:  2023-07-06 09:03:53 
Batch 851 / 1000  time:  2023-07-06 09:13:27 
Batch 852 / 1000  time:  2023-07-06 09:23:10 
Batch 853 / 1000  time:  2023-07-06 09:32:47 
Batch 854 / 1000  time:  2023-07-06 09:42:20 
Batch 855 / 1000  time:  2023-07-06 09:51:52 
Batch 856 / 1000  time:  2023-07-06 10:01:29 
Batch 857 / 1000  time:  2023-07-06 10:11:03 
Batch 858 / 1000  time:  2023-07-06 10:20:37 
Batch 859 / 1000  time:  2023-07-06 10:30:15 
Batch 860 / 1000  time:  2023-07-06 10:39:54 
Batch 861 / 1000  time:  2023-07-06 10:49:29 
Batch 862 / 1000  time:  2023-07-06 10:59:05 
Batch 863 / 1000  time:  2023-07-06 11:08:42 
Batch 864 / 1000  time:  2023-07-06 11:18:18 
Batch 865 / 1000  time:  2023-07-06 11:27:58 
Batch 866 / 1000  time:  2023-07-06 11:37:33 
Batch 867 / 1000  time:  2023-07-06 11:47:08 
Batch 868 / 1000  time:  2023-07-06 11:56:42 
Batch 869 / 1000  time:  2023-07-06 12:06:20 
Batch 870 / 1000  time:  2023-07-06 12:15:55 
Batch 871 / 1000  time:  2023-07-06 12:25:32 
Batch 872 / 1000  time:  2023-07-06 12:35:12 
Batch 873 / 1000  time:  2023-07-06 12:44:49 
Batch 874 / 1000  time:  2023-07-06 12:54:28 
Batch 875 / 1000  time:  2023-07-06 13:04:02 
Batch 876 / 1000  time:  2023-07-06 13:13:40 
Batch 877 / 1000  time:  2023-07-06 13:23:13 
Batch 878 / 1000  time:  2023-07-06 13:32:49 
Batch 879 / 1000  time:  2023-07-06 13:42:27 
Batch 880 / 1000  time:  2023-07-06 13:52:06 
Batch 881 / 1000  time:  2023-07-06 14:01:46 
Batch 882 / 1000  time:  2023-07-06 14:11:25 
Batch 883 / 1000  time:  2023-07-06 14:20:59 
Batch 884 / 1000  time:  2023-07-06 14:30:32 
Batch 885 / 1000  time:  2023-07-06 14:40:05 
Batch 886 / 1000  time:  2023-07-06 14:49:38 
Batch 887 / 1000  time:  2023-07-06 14:59:20 
Batch 888 / 1000  time:  2023-07-06 15:08:59 
Batch 889 / 1000  time:  2023-07-06 15:18:38 
Batch 890 / 1000  time:  2023-07-06 15:28:12 
Batch 891 / 1000  time:  2023-07-06 15:37:47 
Batch 892 / 1000  time:  2023-07-06 15:47:22 
Batch 893 / 1000  time:  2023-07-06 15:56:58 
Batch 894 / 1000  time:  2023-07-06 16:06:38 
Batch 895 / 1000  time:  2023-07-06 16:16:18 
Batch 896 / 1000  time:  2023-07-06 16:25:54 
Batch 897 / 1000  time:  2023-07-06 16:35:30 
Batch 898 / 1000  time:  2023-07-06 16:45:07 
Batch 899 / 1000  time:  2023-07-06 16:54:42 
Batch 900 / 1000  time:  2023-07-06 17:04:24 
Batch 901 / 1000  time:  2023-07-06 17:14:04 
Batch 902 / 1000  time:  2023-07-06 17:23:42 
Batch 903 / 1000  time:  2023-07-06 17:33:26 
Batch 904 / 1000  time:  2023-07-06 17:43:02 
Batch 905 / 1000  time:  2023-07-06 17:52:41 
Batch 906 / 1000  time:  2023-07-06 18:02:18 
Batch 907 / 1000  time:  2023-07-06 18:11:56 
Batch 908 / 1000  time:  2023-07-06 18:21:32 
Batch 909 / 1000  time:  2023-07-06 18:31:07 
Batch 910 / 1000  time:  2023-07-06 18:40:41 
Batch 911 / 1000  time:  2023-07-06 18:50:16 
Batch 912 / 1000  time:  2023-07-06 19:00:03 
Batch 913 / 1000  time:  2023-07-06 19:09:41 
Batch 914 / 1000  time:  2023-07-06 19:19:26 
Batch 915 / 1000  time:  2023-07-06 19:29:06 
Batch 916 / 1000  time:  2023-07-06 19:38:41 
Batch 917 / 1000  time:  2023-07-06 19:48:15 
Batch 918 / 1000  time:  2023-07-06 19:57:54 
Batch 919 / 1000  time:  2023-07-06 20:07:32 
Batch 920 / 1000  time:  2023-07-06 20:17:07 
Batch 921 / 1000  time:  2023-07-06 20:26:39 
Batch 922 / 1000  time:  2023-07-06 20:36:12 
Batch 923 / 1000  time:  2023-07-06 20:45:44 
Batch 924 / 1000  time:  2023-07-06 20:55:18 
Batch 925 / 1000  time:  2023-07-06 21:04:52 
Batch 926 / 1000  time:  2023-07-06 21:14:24 
Batch 927 / 1000  time:  2023-07-06 21:24:03 
Batch 928 / 1000  time:  2023-07-06 21:33:41 
Batch 929 / 1000  time:  2023-07-06 21:43:15 
Batch 930 / 1000  time:  2023-07-06 21:52:48 
Batch 931 / 1000  time:  2023-07-06 22:02:22 
Batch 932 / 1000  time:  2023-07-06 22:11:55 
Batch 933 / 1000  time:  2023-07-06 22:21:31 
Batch 934 / 1000  time:  2023-07-06 22:31:05 
Batch 935 / 1000  time:  2023-07-06 22:40:37 
Batch 936 / 1000  time:  2023-07-06 22:50:12 
Batch 937 / 1000  time:  2023-07-06 22:59:47 
Batch 938 / 1000  time:  2023-07-06 23:09:19 
Batch 939 / 1000  time:  2023-07-06 23:18:52 
Batch 940 / 1000  time:  2023-07-06 23:28:25 
Batch 941 / 1000  time:  2023-07-06 23:37:57 
Batch 942 / 1000  time:  2023-07-06 23:47:29 
Batch 943 / 1000  time:  2023-07-06 23:57:04 
Batch 944 / 1000  time:  2023-07-07 00:06:37 
Batch 945 / 1000  time:  2023-07-07 00:16:14 
Batch 946 / 1000  time:  2023-07-07 00:25:46 
Batch 947 / 1000  time:  2023-07-07 00:35:21 
Batch 948 / 1000  time:  2023-07-07 00:44:54 
Batch 949 / 1000  time:  2023-07-07 00:54:29 
Batch 950 / 1000  time:  2023-07-07 01:04:03 
Batch 951 / 1000  time:  2023-07-07 01:13:43 
Batch 952 / 1000  time:  2023-07-07 01:23:16 
Batch 953 / 1000  time:  2023-07-07 01:32:52 
Batch 954 / 1000  time:  2023-07-07 01:42:25 
Batch 955 / 1000  time:  2023-07-07 01:51:58 
Batch 956 / 1000  time:  2023-07-07 02:01:33 
Batch 957 / 1000  time:  2023-07-07 02:11:09 
Batch 958 / 1000  time:  2023-07-07 02:20:44 
Batch 959 / 1000  time:  2023-07-07 02:30:17 
Batch 960 / 1000  time:  2023-07-07 02:39:52 
Batch 961 / 1000  time:  2023-07-07 02:49:25 
Batch 962 / 1000  time:  2023-07-07 02:58:58 
Batch 963 / 1000  time:  2023-07-07 03:08:36 
Batch 964 / 1000  time:  2023-07-07 03:18:10 
Batch 965 / 1000  time:  2023-07-07 03:27:44 
Batch 966 / 1000  time:  2023-07-07 03:37:22 
Batch 967 / 1000  time:  2023-07-07 03:46:54 
Batch 968 / 1000  time:  2023-07-07 03:56:27 
Batch 969 / 1000  time:  2023-07-07 04:06:00 
Batch 970 / 1000  time:  2023-07-07 04:15:32 
Batch 971 / 1000  time:  2023-07-07 04:25:05 
Batch 972 / 1000  time:  2023-07-07 04:34:37 
Batch 973 / 1000  time:  2023-07-07 04:44:13 
Batch 974 / 1000  time:  2023-07-07 04:53:45 
Batch 975 / 1000  time:  2023-07-07 05:03:23 
Batch 976 / 1000  time:  2023-07-07 05:12:55 
Batch 977 / 1000  time:  2023-07-07 05:22:28 
Batch 978 / 1000  time:  2023-07-07 05:32:01 
Batch 979 / 1000  time:  2023-07-07 05:41:33 
Batch 980 / 1000  time:  2023-07-07 05:51:07 
Batch 981 / 1000  time:  2023-07-07 06:00:42 
Batch 982 / 1000  time:  2023-07-07 06:10:14 
Batch 983 / 1000  time:  2023-07-07 06:19:49 
Batch 984 / 1000  time:  2023-07-07 06:29:23 
Batch 985 / 1000  time:  2023-07-07 06:38:59 
Batch 986 / 1000  time:  2023-07-07 06:48:35 
Batch 987 / 1000  time:  2023-07-07 06:58:08 
Batch 988 / 1000  time:  2023-07-07 07:07:43 
Batch 989 / 1000  time:  2023-07-07 07:17:18 
Batch 990 / 1000  time:  2023-07-07 07:26:52 
Batch 991 / 1000  time:  2023-07-07 07:36:25 
Batch 992 / 1000  time:  2023-07-07 07:45:57 
Batch 993 / 1000  time:  2023-07-07 07:55:30 
Batch 994 / 1000  time:  2023-07-07 08:05:06 
